reference_path	swift_target	status	notes
.reference/src/bridge/pollConfig.ts	Sources/SwiftCodeRemote/pollConfig.swift	rewrite	port bridge/remote communication
.reference/src/bridge/pollConfigDefaults.ts	Sources/SwiftCodeRemote/pollConfigDefaults.swift	rewrite	port bridge/remote communication
.reference/src/bridge/remoteBridgeCore.ts	Sources/SwiftCodeRemote/remoteBridgeCore.swift	rewrite	port bridge/remote communication
.reference/src/bridge/replBridge.ts	Sources/SwiftCodeRemote/replBridge.swift	rewrite	port bridge/remote communication
.reference/src/bridge/replBridgeHandle.ts	Sources/SwiftCodeRemote/replBridgeHandle.swift	rewrite	port bridge/remote communication
.reference/src/bridge/replBridgeTransport.ts	Sources/SwiftCodeRemote/replBridgeTransport.swift	rewrite	port bridge/remote communication
.reference/src/bridge/sessionIdCompat.ts	Sources/SwiftCodeRemote/sessionIdCompat.swift	rewrite	port bridge/remote communication
.reference/src/bridge/sessionRunner.ts	Sources/SwiftCodeRemote/sessionRunner.swift	rewrite	port bridge/remote communication
.reference/src/bridge/trustedDevice.ts	Sources/SwiftCodeRemote/trustedDevice.swift	rewrite	port bridge/remote communication
.reference/src/bridge/types.ts	Sources/SwiftCodeRemote/types.swift	rewrite	port bridge/remote communication
.reference/src/bridge/workSecret.ts	Sources/SwiftCodeRemote/workSecret.swift	rewrite	port bridge/remote communication
.reference/src/buddy/CompanionSprite.tsx	Sources/SwiftCodeCLI/CompanionSprite.swift	rewrite	port onboarding/buddy flow
.reference/src/buddy/companion.ts	Sources/SwiftCodeCLI/companion.swift	rewrite	port onboarding/buddy flow
.reference/src/buddy/prompt.ts	Sources/SwiftCodeCLI/prompt.swift	rewrite	port onboarding/buddy flow
.reference/src/buddy/sprites.ts	Sources/SwiftCodeCLI/sprites.swift	rewrite	port onboarding/buddy flow
.reference/src/buddy/types.ts	Sources/SwiftCodeCLI/types.swift	rewrite	port onboarding/buddy flow
.reference/src/buddy/useBuddyNotification.tsx	Sources/SwiftCodeCLI/useBuddyNotification.swift	rewrite	port onboarding/buddy flow
.reference/src/cli/bg.ts	Sources/SwiftCodeStubs/bg.swift	stub	documented stub — ant-only or feature-gated
.reference/src/cli/exit.ts	Sources/SwiftCodeRemote/exit.swift	rewrite	port CLI transport/bg
.reference/src/cli/handlers/agents.ts	Sources/SwiftCodeRemote/agents.swift	rewrite	port CLI transport/bg
.reference/src/cli/handlers/auth.ts	Sources/SwiftCodeRemote/auth.swift	rewrite	port CLI transport/bg
.reference/src/cli/handlers/autoMode.ts	Sources/SwiftCodeRemote/autoMode.swift	rewrite	port CLI transport/bg
.reference/src/cli/handlers/mcp.tsx	Sources/SwiftCodeRemote/mcp.swift	rewrite	port CLI transport/bg
.reference/src/cli/handlers/plugins.ts	Sources/SwiftCodeRemote/plugins.swift	rewrite	port CLI transport/bg
.reference/src/cli/handlers/util.tsx	Sources/SwiftCodeRemote/util.swift	rewrite	port CLI transport/bg
.reference/src/cli/ndjsonSafeStringify.ts	Sources/SwiftCodeRemote/ndjsonSafeStringify.swift	rewrite	port CLI transport/bg
.reference/src/cli/print.ts	Sources/SwiftCodeRemote/print.swift	rewrite	port CLI transport/bg
.reference/src/cli/remoteIO.ts	Sources/SwiftCodeRemote/remoteIO.swift	rewrite	port CLI transport/bg
.reference/src/cli/structuredIO.ts	Sources/SwiftCodeRemote/structuredIO.swift	rewrite	port CLI transport/bg
.reference/src/cli/transports/HybridTransport.ts	Sources/SwiftCodeRemote/HybridTransport.swift	rewrite	port CLI transport/bg
.reference/src/cli/transports/SSETransport.ts	Sources/SwiftCodeRemote/SSETransport.swift	rewrite	port CLI transport/bg
.reference/src/cli/transports/SerialBatchEventUploader.ts	Sources/SwiftCodeRemote/SerialBatchEventUploader.swift	rewrite	port CLI transport/bg
.reference/src/cli/transports/WebSocketTransport.ts	Sources/SwiftCodeRemote/WebSocketTransport.swift	rewrite	port CLI transport/bg
.reference/src/cli/transports/WorkerStateUploader.ts	Sources/SwiftCodeRemote/WorkerStateUploader.swift	rewrite	port CLI transport/bg
.reference/src/cli/transports/ccrClient.ts	Sources/SwiftCodeRemote/ccrClient.swift	rewrite	port CLI transport/bg
.reference/src/cli/transports/transportUtils.ts	Sources/SwiftCodeRemote/transportUtils.swift	rewrite	port CLI transport/bg
.reference/src/cli/update.ts	Sources/SwiftCodeRemote/update.swift	rewrite	port CLI transport/bg
.reference/src/commands.ts	Sources/SwiftCodeCommands/CommandRegistry.swift	rewrite	port command registry and filtering
.reference/src/commands/add-dir/add-dir.tsx	Sources/SwiftCodeCommands/add-dir/add-dir.swift	rewrite	port command to Swift
.reference/src/commands/add-dir/index.ts	Sources/SwiftCodeCommands/add-dir/index.swift	rewrite	port command to Swift
.reference/src/commands/add-dir/validation.ts	Sources/SwiftCodeCommands/add-dir/validation.swift	rewrite	port command to Swift
.reference/src/commands/advisor.ts	Sources/SwiftCodeCommands/advisor.ts/advisor.swift	rewrite	port command to Swift
.reference/src/commands/agents-platform/index.ts	Sources/SwiftCodeStubs/index.swift	stub	documented stub — ant-only or feature-gated
.reference/src/commands/agents/agents.tsx	Sources/SwiftCodeCommands/agents/agents.swift	rewrite	port command to Swift
.reference/src/commands/agents/index.ts	Sources/SwiftCodeCommands/agents/index.swift	rewrite	port command to Swift
.reference/src/commands/ant-trace/index.js	Sources/SwiftCodeCommands/ant-trace/index.js.swift	rewrite	port command to Swift
.reference/src/commands/assistant/assistant.tsx	Sources/SwiftCodeStubs/assistant.swift	stub	documented stub — ant-only or feature-gated
.reference/src/commands/autofix-pr/index.js	Sources/SwiftCodeCommands/autofix-pr/index.js.swift	rewrite	port command to Swift
.reference/src/commands/backfill-sessions/index.js	Sources/SwiftCodeCommands/backfill-sessions/index.js.swift	rewrite	port command to Swift
.reference/src/commands/branch/branch.ts	Sources/SwiftCodeCommands/branch/branch.swift	rewrite	port command to Swift
.reference/src/commands/branch/index.ts	Sources/SwiftCodeCommands/branch/index.swift	rewrite	port command to Swift
.reference/src/commands/break-cache/index.js	Sources/SwiftCodeCommands/break-cache/index.js.swift	rewrite	port command to Swift
.reference/src/commands/bridge-kick.ts	Sources/SwiftCodeCommands/bridge-kick.ts/bridge-kick.swift	rewrite	port command to Swift
.reference/src/commands/bridge/bridge.tsx	Sources/SwiftCodeCommands/bridge/bridge.swift	rewrite	port command to Swift
.reference/src/commands/bridge/index.ts	Sources/SwiftCodeCommands/bridge/index.swift	rewrite	port command to Swift
.reference/src/commands/brief.ts	Sources/SwiftCodeCommands/brief.ts/brief.swift	rewrite	port command to Swift
.reference/src/commands/btw/btw.tsx	Sources/SwiftCodeCommands/btw/btw.swift	rewrite	port command to Swift
.reference/src/commands/btw/index.ts	Sources/SwiftCodeCommands/btw/index.swift	rewrite	port command to Swift
.reference/src/commands/buddy/index.ts	Sources/SwiftCodeCommands/buddy/index.swift	rewrite	port command to Swift
.reference/src/commands/bughunter/index.js	Sources/SwiftCodeCommands/bughunter/index.js.swift	rewrite	port command to Swift
.reference/src/commands/chrome/chrome.tsx	Sources/SwiftCodeCommands/chrome/chrome.swift	rewrite	port command to Swift
.reference/src/commands/chrome/index.ts	Sources/SwiftCodeCommands/chrome/index.swift	rewrite	port command to Swift
.reference/src/commands/clear/caches.ts	Sources/SwiftCodeCommands/clear/caches.swift	rewrite	port command to Swift
.reference/src/commands/clear/clear.ts	Sources/SwiftCodeCommands/clear/clear.swift	rewrite	port command to Swift
.reference/src/commands/clear/conversation.ts	Sources/SwiftCodeCommands/clear/conversation.swift	rewrite	port command to Swift
.reference/src/commands/clear/index.ts	Sources/SwiftCodeCommands/clear/index.swift	rewrite	port command to Swift
.reference/src/commands/color/color.ts	Sources/SwiftCodeCommands/color/color.swift	rewrite	port command to Swift
.reference/src/commands/color/index.ts	Sources/SwiftCodeCommands/color/index.swift	rewrite	port command to Swift
.reference/src/commands/commit-push-pr.ts	Sources/SwiftCodeCommands/commit-push-pr.ts/commit-push-pr.swift	rewrite	port command to Swift
.reference/src/commands/commit.ts	Sources/SwiftCodeCommands/commit.ts/commit.swift	rewrite	port command to Swift
.reference/src/commands/compact/compact.ts	Sources/SwiftCodeCommands/compact/compact.swift	rewrite	port command to Swift
.reference/src/commands/compact/index.ts	Sources/SwiftCodeCommands/compact/index.swift	rewrite	port command to Swift
.reference/src/commands/config/config.tsx	Sources/SwiftCodeCommands/config/config.swift	rewrite	port command to Swift
.reference/src/commands/config/index.ts	Sources/SwiftCodeCommands/config/index.swift	rewrite	port command to Swift
.reference/src/commands/context/context-noninteractive.ts	Sources/SwiftCodeCommands/context/context-noninteractive.swift	rewrite	port command to Swift
.reference/src/commands/context/context.tsx	Sources/SwiftCodeCommands/context/context.swift	rewrite	port command to Swift
.reference/src/commands/context/index.ts	Sources/SwiftCodeCommands/context/index.swift	rewrite	port command to Swift
.reference/src/commands/copy/copy.tsx	Sources/SwiftCodeCommands/copy/copy.swift	rewrite	port command to Swift
.reference/src/commands/copy/index.ts	Sources/SwiftCodeCommands/copy/index.swift	rewrite	port command to Swift
.reference/src/commands/cost/cost.ts	Sources/SwiftCodeCommands/cost/cost.swift	rewrite	port command to Swift
.reference/src/commands/cost/index.ts	Sources/SwiftCodeCommands/cost/index.swift	rewrite	port command to Swift
.reference/src/commands/createMovedToPluginCommand.ts	Sources/SwiftCodeCommands/createMovedToPluginCommand.ts/createMovedToPluginCommand.swift	rewrite	port command to Swift
.reference/src/commands/ctx_viz/index.js	Sources/SwiftCodeCommands/ctx_viz/index.js.swift	rewrite	port command to Swift
.reference/src/commands/debug-tool-call/index.js	Sources/SwiftCodeCommands/debug-tool-call/index.js.swift	rewrite	port command to Swift
.reference/src/commands/desktop/desktop.tsx	Sources/SwiftCodeCommands/desktop/desktop.swift	rewrite	port command to Swift
.reference/src/commands/desktop/index.ts	Sources/SwiftCodeCommands/desktop/index.swift	rewrite	port command to Swift
.reference/src/commands/diff/diff.tsx	Sources/SwiftCodeCommands/diff/diff.swift	rewrite	port command to Swift
.reference/src/commands/diff/index.ts	Sources/SwiftCodeCommands/diff/index.swift	rewrite	port command to Swift
.reference/src/commands/doctor/doctor.tsx	Sources/SwiftCodeCommands/doctor/doctor.swift	rewrite	port command to Swift
.reference/src/commands/doctor/index.ts	Sources/SwiftCodeCommands/doctor/index.swift	rewrite	port command to Swift
.reference/src/commands/effort/effort.tsx	Sources/SwiftCodeCommands/effort/effort.swift	rewrite	port command to Swift
.reference/src/commands/effort/index.ts	Sources/SwiftCodeCommands/effort/index.swift	rewrite	port command to Swift
.reference/src/commands/env/index.js	Sources/SwiftCodeCommands/env/index.js.swift	rewrite	port command to Swift
.reference/src/commands/exit/exit.tsx	Sources/SwiftCodeCommands/exit/exit.swift	rewrite	port command to Swift
.reference/src/commands/exit/index.ts	Sources/SwiftCodeCommands/exit/index.swift	rewrite	port command to Swift
.reference/src/commands/export/export.tsx	Sources/SwiftCodeCommands/export/export.swift	rewrite	port command to Swift
.reference/src/commands/export/index.ts	Sources/SwiftCodeCommands/export/index.swift	rewrite	port command to Swift
.reference/src/commands/extra-usage/extra-usage-core.ts	Sources/SwiftCodeCommands/extra-usage/extra-usage-core.swift	rewrite	port command to Swift
.reference/src/commands/extra-usage/extra-usage-noninteractive.ts	Sources/SwiftCodeCommands/extra-usage/extra-usage-noninteractive.swift	rewrite	port command to Swift
.reference/src/commands/extra-usage/extra-usage.tsx	Sources/SwiftCodeCommands/extra-usage/extra-usage.swift	rewrite	port command to Swift
.reference/src/commands/extra-usage/index.ts	Sources/SwiftCodeCommands/extra-usage/index.swift	rewrite	port command to Swift
.reference/src/commands/fast/fast.tsx	Sources/SwiftCodeCommands/fast/fast.swift	rewrite	port command to Swift
.reference/src/commands/fast/index.ts	Sources/SwiftCodeCommands/fast/index.swift	rewrite	port command to Swift
.reference/src/commands/feedback/feedback.tsx	Sources/SwiftCodeCommands/feedback/feedback.swift	rewrite	port command to Swift
.reference/src/commands/feedback/index.ts	Sources/SwiftCodeCommands/feedback/index.swift	rewrite	port command to Swift
.reference/src/commands/files/files.ts	Sources/SwiftCodeCommands/files/files.swift	rewrite	port command to Swift
.reference/src/commands/files/index.ts	Sources/SwiftCodeCommands/files/index.swift	rewrite	port command to Swift
.reference/src/commands/good-claude/index.js	Sources/SwiftCodeCommands/good-claude/index.js.swift	rewrite	port command to Swift
.reference/src/commands/heapdump/heapdump.ts	Sources/SwiftCodeCommands/heapdump/heapdump.swift	rewrite	port command to Swift
.reference/src/commands/heapdump/index.ts	Sources/SwiftCodeCommands/heapdump/index.swift	rewrite	port command to Swift
.reference/src/commands/help/help.tsx	Sources/SwiftCodeCommands/help/help.swift	rewrite	port command to Swift
.reference/src/commands/help/index.ts	Sources/SwiftCodeCommands/help/index.swift	rewrite	port command to Swift
.reference/src/commands/hooks/hooks.tsx	Sources/SwiftCodeCommands/hooks/hooks.swift	rewrite	port command to Swift
.reference/src/commands/hooks/index.ts	Sources/SwiftCodeCommands/hooks/index.swift	rewrite	port command to Swift
.reference/src/commands/ide/ide.tsx	Sources/SwiftCodeCommands/ide/ide.swift	rewrite	port command to Swift
.reference/src/commands/ide/index.ts	Sources/SwiftCodeCommands/ide/index.swift	rewrite	port command to Swift
.reference/src/commands/init-verifiers.ts	Sources/SwiftCodeCommands/init-verifiers.ts/init-verifiers.swift	rewrite	port command to Swift
.reference/src/commands/init.ts	Sources/SwiftCodeCommands/init.ts/init.swift	rewrite	port command to Swift
.reference/src/commands/insights.ts	Sources/SwiftCodeCommands/insights.ts/insights.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/ApiKeyStep.tsx	Sources/SwiftCodeCommands/install-github-app/ApiKeyStep.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/CheckExistingSecretStep.tsx	Sources/SwiftCodeCommands/install-github-app/CheckExistingSecretStep.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/CheckGitHubStep.tsx	Sources/SwiftCodeCommands/install-github-app/CheckGitHubStep.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/ChooseRepoStep.tsx	Sources/SwiftCodeCommands/install-github-app/ChooseRepoStep.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/CreatingStep.tsx	Sources/SwiftCodeCommands/install-github-app/CreatingStep.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/ErrorStep.tsx	Sources/SwiftCodeCommands/install-github-app/ErrorStep.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/ExistingWorkflowStep.tsx	Sources/SwiftCodeCommands/install-github-app/ExistingWorkflowStep.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/InstallAppStep.tsx	Sources/SwiftCodeCommands/install-github-app/InstallAppStep.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/OAuthFlowStep.tsx	Sources/SwiftCodeCommands/install-github-app/OAuthFlowStep.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/SuccessStep.tsx	Sources/SwiftCodeCommands/install-github-app/SuccessStep.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/WarningsStep.tsx	Sources/SwiftCodeCommands/install-github-app/WarningsStep.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/index.ts	Sources/SwiftCodeCommands/install-github-app/index.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/install-github-app.tsx	Sources/SwiftCodeCommands/install-github-app/install-github-app.swift	rewrite	port command to Swift
.reference/src/commands/install-github-app/setupGitHubActions.ts	Sources/SwiftCodeCommands/install-github-app/setupGitHubActions.swift	rewrite	port command to Swift
.reference/src/commands/install-slack-app/index.ts	Sources/SwiftCodeCommands/install-slack-app/index.swift	rewrite	port command to Swift
.reference/src/commands/install-slack-app/install-slack-app.ts	Sources/SwiftCodeCommands/install-slack-app/install-slack-app.swift	rewrite	port command to Swift
.reference/src/commands/install.tsx	Sources/SwiftCodeCommands/install.tsx/install.swift	rewrite	port command to Swift
.reference/src/commands/issue/index.js	Sources/SwiftCodeCommands/issue/index.js.swift	rewrite	port command to Swift
.reference/src/commands/keybindings/index.ts	Sources/SwiftCodeCommands/keybindings/index.swift	rewrite	port command to Swift
.reference/src/commands/keybindings/keybindings.ts	Sources/SwiftCodeCommands/keybindings/keybindings.swift	rewrite	port command to Swift
.reference/src/commands/login/index.ts	Sources/SwiftCodeCommands/login/index.swift	rewrite	port command to Swift
.reference/src/commands/login/login.tsx	Sources/SwiftCodeCommands/login/login.swift	rewrite	port command to Swift
.reference/src/commands/logout/index.ts	Sources/SwiftCodeCommands/logout/index.swift	rewrite	port command to Swift
.reference/src/commands/logout/logout.tsx	Sources/SwiftCodeCommands/logout/logout.swift	rewrite	port command to Swift
.reference/src/commands/mcp/addCommand.ts	Sources/SwiftCodeCommands/mcp/addCommand.swift	rewrite	port command to Swift
.reference/src/commands/mcp/index.ts	Sources/SwiftCodeCommands/mcp/index.swift	rewrite	port command to Swift
.reference/src/commands/mcp/mcp.tsx	Sources/SwiftCodeCommands/mcp/mcp.swift	rewrite	port command to Swift
.reference/src/commands/mcp/xaaIdpCommand.ts	Sources/SwiftCodeCommands/mcp/xaaIdpCommand.swift	rewrite	port command to Swift
.reference/src/commands/memory/index.ts	Sources/SwiftCodeCommands/memory/index.swift	rewrite	port command to Swift
.reference/src/commands/memory/memory.tsx	Sources/SwiftCodeCommands/memory/memory.swift	rewrite	port command to Swift
.reference/src/commands/mobile/index.ts	Sources/SwiftCodeCommands/mobile/index.swift	rewrite	port command to Swift
.reference/src/commands/mobile/mobile.tsx	Sources/SwiftCodeCommands/mobile/mobile.swift	rewrite	port command to Swift
.reference/src/commands/mock-limits/index.js	Sources/SwiftCodeCommands/mock-limits/index.js.swift	rewrite	port command to Swift
.reference/src/commands/model/index.ts	Sources/SwiftCodeCommands/model/index.swift	rewrite	port command to Swift
.reference/src/commands/model/model.tsx	Sources/SwiftCodeCommands/model/model.swift	rewrite	port command to Swift
.reference/src/commands/oauth-refresh/index.js	Sources/SwiftCodeCommands/oauth-refresh/index.js.swift	rewrite	port command to Swift
.reference/src/commands/onboarding/index.js	Sources/SwiftCodeCommands/onboarding/index.js.swift	rewrite	port command to Swift
.reference/src/commands/output-style/index.ts	Sources/SwiftCodeCommands/output-style/index.swift	rewrite	port command to Swift
.reference/src/commands/output-style/output-style.tsx	Sources/SwiftCodeCommands/output-style/output-style.swift	rewrite	port command to Swift
.reference/src/commands/passes/index.ts	Sources/SwiftCodeCommands/passes/index.swift	rewrite	port command to Swift
.reference/src/commands/passes/passes.tsx	Sources/SwiftCodeCommands/passes/passes.swift	rewrite	port command to Swift
.reference/src/commands/perf-issue/index.js	Sources/SwiftCodeCommands/perf-issue/index.js.swift	rewrite	port command to Swift
.reference/src/commands/permissions/index.ts	Sources/SwiftCodeCommands/permissions/index.swift	rewrite	port command to Swift
.reference/src/commands/permissions/permissions.tsx	Sources/SwiftCodeCommands/permissions/permissions.swift	rewrite	port command to Swift
.reference/src/commands/plan/index.ts	Sources/SwiftCodeCommands/plan/index.swift	rewrite	port command to Swift
.reference/src/commands/plan/plan.tsx	Sources/SwiftCodeCommands/plan/plan.swift	rewrite	port command to Swift
.reference/src/commands/plugin/AddMarketplace.tsx	Sources/SwiftCodeCommands/plugin/AddMarketplace.swift	rewrite	port command to Swift
.reference/src/commands/plugin/BrowseMarketplace.tsx	Sources/SwiftCodeCommands/plugin/BrowseMarketplace.swift	rewrite	port command to Swift
.reference/src/commands/plugin/DiscoverPlugins.tsx	Sources/SwiftCodeCommands/plugin/DiscoverPlugins.swift	rewrite	port command to Swift
.reference/src/commands/plugin/ManageMarketplaces.tsx	Sources/SwiftCodeCommands/plugin/ManageMarketplaces.swift	rewrite	port command to Swift
.reference/src/commands/plugin/ManagePlugins.tsx	Sources/SwiftCodeCommands/plugin/ManagePlugins.swift	rewrite	port command to Swift
.reference/src/commands/plugin/PluginErrors.tsx	Sources/SwiftCodeCommands/plugin/PluginErrors.swift	rewrite	port command to Swift
.reference/src/commands/plugin/PluginOptionsDialog.tsx	Sources/SwiftCodeCommands/plugin/PluginOptionsDialog.swift	rewrite	port command to Swift
.reference/src/commands/plugin/PluginOptionsFlow.tsx	Sources/SwiftCodeCommands/plugin/PluginOptionsFlow.swift	rewrite	port command to Swift
.reference/src/commands/plugin/PluginSettings.tsx	Sources/SwiftCodeCommands/plugin/PluginSettings.swift	rewrite	port command to Swift
.reference/src/commands/plugin/PluginTrustWarning.tsx	Sources/SwiftCodeCommands/plugin/PluginTrustWarning.swift	rewrite	port command to Swift
.reference/src/commands/plugin/UnifiedInstalledCell.tsx	Sources/SwiftCodeCommands/plugin/UnifiedInstalledCell.swift	rewrite	port command to Swift
.reference/src/commands/plugin/ValidatePlugin.tsx	Sources/SwiftCodeCommands/plugin/ValidatePlugin.swift	rewrite	port command to Swift
.reference/src/commands/plugin/index.tsx	Sources/SwiftCodeCommands/plugin/index.swift	rewrite	port command to Swift
.reference/src/commands/plugin/parseArgs.ts	Sources/SwiftCodeCommands/plugin/parseArgs.swift	rewrite	port command to Swift
.reference/src/commands/plugin/plugin.tsx	Sources/SwiftCodeCommands/plugin/plugin.swift	rewrite	port command to Swift
.reference/src/commands/plugin/pluginDetailsHelpers.tsx	Sources/SwiftCodeCommands/plugin/pluginDetailsHelpers.swift	rewrite	port command to Swift
.reference/src/commands/plugin/usePagination.ts	Sources/SwiftCodeCommands/plugin/usePagination.swift	rewrite	port command to Swift
.reference/src/commands/pr_comments/index.ts	Sources/SwiftCodeCommands/pr_comments/index.swift	rewrite	port command to Swift
.reference/src/commands/privacy-settings/index.ts	Sources/SwiftCodeCommands/privacy-settings/index.swift	rewrite	port command to Swift
.reference/src/commands/privacy-settings/privacy-settings.tsx	Sources/SwiftCodeCommands/privacy-settings/privacy-settings.swift	rewrite	port command to Swift
.reference/src/commands/rate-limit-options/index.ts	Sources/SwiftCodeCommands/rate-limit-options/index.swift	rewrite	port command to Swift
.reference/src/commands/rate-limit-options/rate-limit-options.tsx	Sources/SwiftCodeCommands/rate-limit-options/rate-limit-options.swift	rewrite	port command to Swift
.reference/src/commands/release-notes/index.ts	Sources/SwiftCodeCommands/release-notes/index.swift	rewrite	port command to Swift
.reference/src/commands/release-notes/release-notes.ts	Sources/SwiftCodeCommands/release-notes/release-notes.swift	rewrite	port command to Swift
.reference/src/commands/reload-plugins/index.ts	Sources/SwiftCodeCommands/reload-plugins/index.swift	rewrite	port command to Swift
.reference/src/commands/reload-plugins/reload-plugins.ts	Sources/SwiftCodeCommands/reload-plugins/reload-plugins.swift	rewrite	port command to Swift
.reference/src/commands/remote-env/index.ts	Sources/SwiftCodeCommands/remote-env/index.swift	rewrite	port command to Swift
.reference/src/commands/remote-env/remote-env.tsx	Sources/SwiftCodeCommands/remote-env/remote-env.swift	rewrite	port command to Swift
.reference/src/commands/remote-setup/api.ts	Sources/SwiftCodeCommands/remote-setup/api.swift	rewrite	port command to Swift
.reference/src/commands/remote-setup/index.ts	Sources/SwiftCodeCommands/remote-setup/index.swift	rewrite	port command to Swift
.reference/src/commands/remote-setup/remote-setup.tsx	Sources/SwiftCodeCommands/remote-setup/remote-setup.swift	rewrite	port command to Swift
.reference/src/commands/rename/generateSessionName.ts	Sources/SwiftCodeCommands/rename/generateSessionName.swift	rewrite	port command to Swift
.reference/src/commands/rename/index.ts	Sources/SwiftCodeCommands/rename/index.swift	rewrite	port command to Swift
.reference/src/commands/rename/rename.ts	Sources/SwiftCodeCommands/rename/rename.swift	rewrite	port command to Swift
.reference/src/commands/reset-limits/index.js	Sources/SwiftCodeCommands/reset-limits/index.js.swift	rewrite	port command to Swift
